unique_id,ds,y
air_passengers,1949-01-01,112
air_passengers,1949-02-01,118
air_passengers,1949-03-01,132
air_passengers,1949-04-01,129
air_passengers,1949-05-01,121
air_passengers,1949-06-01,135
air_passengers,1949-07-01,148
air_passengers,1949-08-01,148
air_passengers,1949-09-01,136
air_passengers,1949-10-01,119
air_passengers,1949-11-01,104
air_passengers,1949-12-01,118
air_passengers,1950-01-01,115
air_passengers,1950-02-01,126
air_passengers,1950-03-01,141
air_passengers,1950-04-01,135
air_passengers,1950-05-01,125
air_passengers,1950-06-01,149
air_passengers,1950-07-01,170
air_passengers,1950-08-01,170
air_passengers,1950-09-01,158
air_passengers,1950-10-01,133
air_passengers,1950-11-01,114
air_passengers,1950-12-01,140
air_passengers,1951-01-01,145
air_passengers,1951-02-01,150
air_passengers,1951-03-01,178
air_passengers,1951-04-01,163
air_passengers,1951-05-01,172
air_passengers,1951-06-01,178
air_passengers,1951-07-01,199
air_passengers,1951-08-01,199
air_passengers,1951-09-01,184
air_passengers,1951-10-01,162
air_passengers,1951-11-01,146
air_passengers,1951-12-01,166
air_passengers,1952-01-01,171
air_passengers,1952-02-01,180
air_passengers,1952-03-01,193
air_passengers,1952-04-01,181
air_passengers,1952-05-01,183
air_passengers,1952-06-01,218
air_passengers,1952-07-01,230
air_passengers,1952-08-01,242
air_passengers,1952-09-01,209
air_passengers,1952-10-01,191
air_passengers,1952-11-01,172
air_passengers,1952-12-01,194
air_passengers,1953-01-01,196
air_passengers,1953-02-01,196
air_passengers,1953-03-01,236
air_passengers,1953-04-01,235
air_passengers,1953-05-01,229
air_passengers,1953-06-01,243
air_passengers,1953-07-01,264
air_passengers,1953-08-01,272
air_passengers,1953-09-01,237
air_passengers,1953-10-01,211
air_passengers,1953-11-01,180
air_passengers,1953-12-01,201
air_passengers,1954-01-01,204
air_passengers,1954-02-01,188
air_passengers,1954-03-01,235
air_passengers,1954-04-01,227
air_passengers,1954-05-01,234
air_passengers,1954-06-01,264
air_passengers,1954-07-01,302
air_passengers,1954-08-01,293
air_passengers,1954-09-01,259
air_passengers,1954-10-01,229
air_passengers,1954-11-01,203
air_passengers,1954-12-01,229
air_passengers,1955-01-01,242
air_passengers,1955-02-01,233
air_passengers,1955-03-01,267
air_passengers,1955-04-01,269
air_passengers,1955-05-01,270
air_passengers,1955-06-01,315
air_passengers,1955-07-01,364
air_passengers,1955-08-01,347
air_passengers,1955-09-01,312
air_passengers,1955-10-01,274
air_passengers,1955-11-01,237
air_passengers,1955-12-01,278
air_passengers,1956-01-01,284
air_passengers,1956-02-01,277
air_passengers,1956-03-01,317
air_passengers,1956-04-01,313
air_passengers,1956-05-01,318
air_passengers,1956-06-01,374
air_passengers,1956-07-01,413
air_passengers,1956-08-01,405
air_passengers,1956-09-01,355
air_passengers,1956-10-01,306
air_passengers,1956-11-01,271
air_passengers,1956-12-01,306
air_passengers,1957-01-01,315
air_passengers,1957-02-01,301
air_passengers,1957-03-01,356
air_passengers,1957-04-01,348
air_passengers,1957-05-01,355
air_passengers,1957-06-01,422
air_passengers,1957-07-01,465
air_passengers,1957-08-01,467
air_passengers,1957-09-01,404
air_passengers,1957-10-01,347
air_passengers,1957-11-01,305
air_passengers,1957-12-01,336
air_passengers,1958-01-01,340
air_passengers,1958-02-01,318
air_passengers,1958-03-01,362
air_passengers,1958-04-01,348
air_passengers,1958-05-01,363
air_passengers,1958-06-01,435
air_passengers,1958-07-01,491
air_passengers,1958-08-01,505
air_passengers,1958-09-01,404
air_passengers,1958-10-01,359
air_passengers,1958-11-01,310
air_passengers,1958-12-01,337
air_passengers,1959-01-01,360
air_passengers,1959-02-01,342
air_passengers,1959-03-01,406
air_passengers,1959-04-01,396
air_passengers,1959-05-01,420
air_passengers,1959-06-01,472
air_passengers,1959-07-01,548
air_passengers,1959-08-01,559
air_passengers,1959-09-01,463
air_passengers,1959-10-01,407
air_passengers,1959-11-01,362
air_passengers,1959-12-01,405
air_passengers,1960-01-01,417
air_passengers,1960-02-01,391
air_passengers,1960-03-01,419
air_passengers,1960-04-01,461
air_passengers,1960-05-01,472
air_passengers,1960-06-01,535
air_passengers,1960-07-01,622
air_passengers,1960-08-01,606
air_passengers,1960-09-01,508
air_passengers,1960-10-01,461
air_passengers,1960-11-01,390
air_passengers,1960-12-01,432
